"species1","species2","D","p_eqD","CI_eqD_lower","CI_eqD_upper","p_sim1D","CI_sim1D_lower","CI_sim1D_upper","p_sim2D","CI_sim2D_lower","CI_sim2D_upper"
"Hillia_costanensis","Hillia_triflora_var._triflora",0.0185763506054228,1,0.0421947262696873,0.436919436513538,0.702970297029703,0,0.300268057094324,0.613861386138614,0,0.267499650826995
"Hillia_costanensis","Hillia_ulei",0.17213650555351,0.267326732673267,0.0216835678368862,0.3836425180699,0.247524752475248,1.0547118733939e-16,0.449867535397713,0.277227722772277,0,0.508804781711787
"Hillia_costanensis","Hillia_wurdackii",0.026766691127167,1,0.0831787256642691,0.550424853373517,0.099009900990099,0,0.0456640931292307,0.0594059405940594,0,0.0234800724313984
"Hillia_grayumii","Hillia_illustris",0.0210986951277357,0.693069306930693,0.00254507963246212,0.25655305659356,0.0693069306930693,0,0.0219957264182488,0.0792079207920792,0,0.0234214657728721
"Hillia_grayumii","Hillia_killipii",0.06020361706733,0.97029702970297,0.0921397240880265,0.443875181374905,0.0396039603960396,0,0.0315473074428304,0.0099009900990099,0,0.033458582417612
"Hillia_grayumii","Hillia_longifilamentosa",0.0139731804443728,1,0.0793662551751325,0.532304864921291,0.188118811881188,0,0.0330365411707666,0.188118811881188,0,0.0661242465190423
"Hillia_grayumii","Hillia_loranthoides",0.0429207205840854,0.96039603960396,0.0498386421080179,0.547321256821808,0.0396039603960396,0,0.0193131317928477,0.0198019801980198,0,0.0212172409936817
"Hillia_grayumii","Hillia_macromeris",0.0122816792131306,0.811881188118812,0.00687884809700615,0.191903601974934,0.0495049504950495,0,0.00728842624957885,0.0891089108910891,0,0.0292533653890441
"Hillia_grayumii","Hillia_macrophylla_SA",0.0352316008105221,1,0.0810880699828962,0.451567341148153,0.0297029702970297,0,0.0119960055871681,0.0099009900990099,0,0.0112502047995481
"Hillia_grayumii","Hillia_macrophylla_CA",0.152242300542897,0.366336633663366,0.00900348628537317,0.273820273451752,0.0099009900990099,0,0.0344074016353132,0.0297029702970297,0,0.0528251547531029
"Hillia_grayumii","Hillia_maxonii",0.00600689960945022,0.99009900990099,0.00941602076826821,0.266803506035083,0.138613861386139,0,0.035868428705513,0.0891089108910891,0,0.0139812331231205
"Hillia_grayumii","Hillia_palmana",0.0104622947342576,1,0.0584964976159004,0.656692876241871,0.168316831683168,0,0.0247914045385813,0.128712871287129,0,0.0178972485866491
