Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
97	-13.21033	-15.70705	2.496714	0.01855009	0.0185501	0.0185501	0.0185501	0.0185501	0.0185501	0.0185501
98	-13.18792	-15.796	2.608079	0.01179516	0.0117952	0.0117952	0.0117952	0.0117952	0.0117952	0.0117952
99	-13.12905	-15.66186	2.532812	0.01636053	0.0163605	0.0163605	0.0163605	0.0163605	0.0163605	0.0163605
100	-13.53633	-16.19568	2.65935	0.008685236	0.00868524	0.00868524	0.00868524	0.00868524	0.00868524	0.00868524
101	-13.11289	-15.65997	2.547076	0.01549537	0.0154954	0.0154954	0.0154954	0.0154954	0.0154954	0.0154954
102	-13.17886	-15.68706	2.508199	0.01785348	0.0178535	0.0178535	0.0178535	0.0178535	0.0178535	0.0178535
103	-13.11208	-15.68456	2.572482	0.0139543	0.0139543	0.0139543	0.0139543	0.0139543	0.0139543	0.0139543
104	-13.43903	-16.08842	2.649395	0.009289094	0.00928909	0.00928909	0.00928909	0.00928909	0.00928909	0.00928909
105	-13.30495	-15.93666	2.631718	0.01036128	0.0103613	0.0103613	0.0103613	0.0103613	0.0103613	0.0103613
106	-13.77804	-16.4565	2.678463	0.007525962	0.00752596	0.00752596	0.00752596	0.00752596	0.00752596	0.00752596
107	-14.69504	-17.41554	2.720499	0.00497624	0.00497624	0.00497624	0.00497624	0.00497624	0.00497624	0.00497624
108	-14.14292	-16.84192	2.699	0.006280243	0.00628024	0.00628024	0.00628024	0.00628024	0.00628024	0.00628024
109	-13.64107	-16.30949	2.668414	0.008135476	0.00813548	0.00813548	0.00813548	0.00813548	0.00813548	0.00813548
110	-13.35381	-15.99268	2.638876	0.009927116	0.00992712	0.00992712	0.00992712	0.00992712	0.00992712	0.00992712
111	-13.11521	-15.65953	2.544312	0.01566296	0.015663	0.015663	0.015663	0.015663	0.015663	0.015663
112	-13.38277	-15.83248	2.449712	0.02140103	0.021401	0.021401	0.021401	0.021401	0.021401	0.021401
113	-14.13747	-16.45005	2.312582	0.02971877	0.0297188	0.0297188	0.0297188	0.0297188	0.0297188	0.0297188
114	-14.63908	-16.87589	2.236808	0.03431491	0.0343149	0.0343149	0.0343149	0.0343149	0.0343149	0.0343149
115	-13.4714	-15.90155	2.430148	0.02258773	0.0225877	0.0225877	0.0225877	0.0225877	0.0225877	0.0225877
116	-16.95873	-18.86948	1.91075	0.05409224	0.0540922	0.0540922	0.0540922	0.0540922	0.0540922	0.0540922
117	-16.95873	-18.86948	1.91075	0.05409224	0.0540922	0.0540922	0.0540922	0.0540922	0.0540922	0.0540922
118	-13.84807	-16.20788	2.359819	0.02685356	0.0268536	0.0268536	0.0268536	0.0268536	0.0268536	0.0268536
119	-13.4382	-15.87546	2.437261	0.02215626	0.0221563	0.0221563	0.0221563	0.0221563	0.0221563	0.0221563
120	-13.5233	-15.94275	2.419447	0.02323678	0.0232368	0.0232368	0.0232368	0.0232368	0.0232368	0.0232368
121	-13.16214	-15.67733	2.515191	0.01742937	0.0174294	0.0174294	0.0174294	0.0174294	0.0174294	0.0174294
122	-15.03346	-17.21349	2.180028	0.03775896	0.037759	0.037759	0.037759	0.037759	0.037759	0.037759
123	-14.9911	-17.17716	2.186055	0.03739338	0.0373934	0.0373934	0.0373934	0.0373934	0.0373934	0.0373934
124	-13.98799	-16.3245	2.336515	0.02826711	0.0282671	0.0282671	0.0282671	0.0282671	0.0282671	0.0282671
125	-13.98799	-16.3245	2.336515	0.02826711	0.0282671	0.0282671	0.0282671	0.0282671	0.0282671	0.0282671
126	-13.14647	-15.66913	2.522659	0.01697638	0.0169764	0.0169764	0.0169764	0.0169764	0.0169764	0.0169764
127	-13.15751	-15.75617	2.598662	0.01236637	0.0123664	0.0123664	0.0123664	0.0123664	0.0123664	0.0123664
128	-13.99233	-16.32814	2.335807	0.02831003	0.02831	0.02831	0.02831	0.02831	0.02831	0.02831
129	-13.27505	-15.75198	2.476935	0.01974981	0.0197498	0.0197498	0.0197498	0.0197498	0.0197498	0.0197498
130	-13.12612	-15.71047	2.584351	0.01323439	0.0132344	0.0132344	0.0132344	0.0132344	0.0132344	0.0132344
131	-13.65827	-16.32804	2.669775	0.008052958	0.00805296	0.00805296	0.00805296	0.00805296	0.00805296	0.00805296
132	-13.3121	-15.94493	2.632833	0.01029369	0.0102937	0.0102937	0.0102937	0.0102937	0.0102937	0.0102937
133	-13.39894	-16.04364	2.644704	0.00957362	0.00957362	0.00957362	0.00957362	0.00957362	0.00957362	0.00957362
134	-13.78173	-16.46044	2.678711	0.007510895	0.00751089	0.00751089	0.00751089	0.00751089	0.00751089	0.00751089
135	-13.16292	-15.76346	2.600539	0.01225248	0.0122525	0.0122525	0.0122525	0.0122525	0.0122525	0.0122525
136	-13.11754	-15.69571	2.57817	0.01360932	0.0136093	0.0136093	0.0136093	0.0136093	0.0136093	0.0136093
137	-13.11894	-15.65956	2.54062	0.01588691	0.0158869	0.0158869	0.0158869	0.0158869	0.0158869	0.0158869
138	-13.29857	-15.92927	2.630703	0.01042286	0.0104229	0.0104229	0.0104229	0.0104229	0.0104229	0.0104229
139	-13.29857	-15.92927	2.630703	0.01042286	0.0104229	0.0104229	0.0104229	0.0104229	0.0104229	0.0104229
140	-13.29857	-15.92927	2.630703	0.01042286	0.0104229	0.0104229	0.0104229	0.0104229	0.0104229	0.0104229
141	-13.12083	-15.70162	2.580787	0.01345056	0.0134506	0.0134506	0.0134506	0.0134506	0.0134506	0.0134506
142	-13.10832	-15.67368	2.565368	0.0143858	0.0143858	0.0143858	0.0143858	0.0143858	0.0143858	0.0143858
143	-13.40635	-15.85067	2.444316	0.02172835	0.0217284	0.0217284	0.0217284	0.0217284	0.0217284	0.0217284
144	-13.40853	-16.05439	2.645864	0.009503252	0.00950325	0.00950325	0.00950325	0.00950325	0.00950325	0.00950325
145	-13.13589	-15.66438	2.528493	0.01662248	0.0166225	0.0166225	0.0166225	0.0166225	0.0166225	0.0166225
146	-13.10926	-15.66235	2.553091	0.01513052	0.0151305	0.0151305	0.0151305	0.0151305	0.0151305	0.0151305
147	-13.24873	-15.73326	2.484528	0.01928926	0.0192893	0.0192893	0.0192893	0.0192893	0.0192893	0.0192893
148	-13.86886	-16.22515	2.356289	0.02706769	0.0270677	0.0270677	0.0270677	0.0270677	0.0270677	0.0270677
149	-13.2238	-15.71606	2.492259	0.01882033	0.0188203	0.0188203	0.0188203	0.0188203	0.0188203	0.0188203
150	-13.18074	-15.6882	2.507462	0.01789817	0.0178982	0.0178982	0.0178982	0.0178982	0.0178982	0.0178982
151	-13.58038	-15.98855	2.408165	0.0239211	0.0239211	0.0239211	0.0239211	0.0239211	0.0239211	0.0239211
152	-14.17847	-16.48462	2.306156	0.03010855	0.0301086	0.0301086	0.0301086	0.0301086	0.0301086	0.0301086
153	-14.35988	-16.63818	2.278297	0.03179835	0.0317983	0.0317983	0.0317983	0.0317983	0.0317983	0.0317983
154	-13.99029	-16.32643	2.336139	0.02828987	0.0282899	0.0282899	0.0282899	0.0282899	0.0282899	0.0282899
155	-13.13174	-15.66279	2.531051	0.01646737	0.0164674	0.0164674	0.0164674	0.0164674	0.0164674	0.0164674
156	-13.22119	-15.8374	2.616215	0.01130164	0.0113016	0.0113016	0.0113016	0.0113016	0.0113016	0.0113016
157	-13.10959	-15.66195	2.552363	0.01517465	0.0151746	0.0151746	0.0151746	0.0151746	0.0151746	0.0151746
158	-13.14254	-15.66727	2.524732	0.0168506	0.0168506	0.0168506	0.0168506	0.0168506	0.0168506	0.0168506
159	-13.11796	-15.69649	2.578527	0.01358767	0.0135877	0.0135877	0.0135877	0.0135877	0.0135877	0.0135877
160	-13.18524	-15.79258	2.607341	0.0118399	0.0118399	0.0118399	0.0118399	0.0118399	0.0118399	0.0118399
161	-13.10761	-15.66833	2.560723	0.01466759	0.0146676	0.0146676	0.0146676	0.0146676	0.0146676	0.0146676
162	-13.33949	-15.79955	2.460067	0.02077295	0.0207729	0.0207729	0.0207729	0.0207729	0.0207729	0.0207729
163	-13.54584	-15.96078	2.414937	0.02351035	0.0235103	0.0235103	0.0235103	0.0235103	0.0235103	0.0235103
164	-13.1612	-15.67681	2.515609	0.01740402	0.017404	0.017404	0.017404	0.017404	0.017404	0.017404
165	-13.94366	-16.28745	2.343791	0.02782576	0.0278258	0.0278258	0.0278258	0.0278258	0.0278258	0.0278258
166	-14.18958	-16.494	2.304424	0.03021359	0.0302136	0.0302136	0.0302136	0.0302136	0.0302136	0.0302136
167	-13.54662	-15.9614	2.414783	0.02351971	0.0235197	0.0235197	0.0235197	0.0235197	0.0235197	0.0235197
168	-13.25705	-15.73912	2.482072	0.01943824	0.0194382	0.0194382	0.0194382	0.0194382	0.0194382	0.0194382
169	-13.16258	-15.67757	2.514998	0.01744108	0.0174411	0.0174411	0.0174411	0.0174411	0.0174411	0.0174411
170	-13.24513	-15.86634	2.621214	0.01099843	0.0109984	0.0109984	0.0109984	0.0109984	0.0109984	0.0109984
171	-13.30781	-15.93998	2.632168	0.01033402	0.010334	0.010334	0.010334	0.010334	0.010334	0.010334
