Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
158	0	-13.13562	-15.72519	2.589568	0.01291797	0.012918	0.012918	0.012918	0.012918	0.012918	0.012918
159	1	-13.24328	-15.72945	2.486169	0.01918971	0.0191897	0.0191897	0.0191897	0.0191897	0.0191897	0.0191897
160	0	-13.10824	-15.67334	2.565099	0.01440211	0.0144021	0.0144021	0.0144021	0.0144021	0.0144021	0.0144021
161	1	-13.12391	-15.6604	2.536495	0.01613713	0.0161371	0.0161371	0.0161371	0.0161371	0.0161371	0.0161371
162	0	-13.30088	-15.7708	2.469921	0.02017526	0.0201753	0.0201753	0.0201753	0.0201753	0.0201753	0.0201753
163	1	-13.16755	-15.68039	2.51284	0.01757196	0.017572	0.017572	0.017572	0.017572	0.017572	0.017572
164	0	-13.17652	-15.78136	2.60484	0.01199161	0.0119916	0.0119916	0.0119916	0.0119916	0.0119916	0.0119916
165	1	-13.16162	-15.67704	2.515423	0.01741525	0.0174153	0.0174153	0.0174153	0.0174153	0.0174153	0.0174153
166	0	-13.65344	-16.04776	2.394322	0.02476075	0.0247608	0.0247608	0.0247608	0.0247608	0.0247608	0.0247608
167	1	-13.2699	-15.74828	2.47838	0.01966213	0.0196621	0.0196621	0.0196621	0.0196621	0.0196621	0.0196621
168	0	-13.53259	-15.95017	2.417579	0.0233501	0.0233501	0.0233501	0.0233501	0.0233501	0.0233501	0.0233501
169	1	-13.28006	-15.7556	2.475545	0.01983414	0.0198341	0.0198341	0.0198341	0.0198341	0.0198341	0.0198341
170	0	-14.37573	-16.65163	2.275902	0.03194362	0.0319436	0.0319436	0.0319436	0.0319436	0.0319436	0.0319436
171	1	-13.92168	-16.26911	2.347433	0.02760483	0.0276048	0.0276048	0.0276048	0.0276048	0.0276048	0.0276048
172	0	-14.37573	-16.65163	2.275902	0.03194362	0.0319436	0.0319436	0.0319436	0.0319436	0.0319436	0.0319436
173	1	-13.18611	-15.6915	2.50539	0.01802387	0.0180239	0.0180239	0.0180239	0.0180239	0.0180239	0.0180239
174	0	-13.72781	-16.10859	2.380786	0.02558182	0.0255818	0.0255818	0.0255818	0.0255818	0.0255818	0.0255818
175	1	-13.48912	-15.91556	2.42644	0.02281259	0.0228126	0.0228126	0.0228126	0.0228126	0.0228126	0.0228126
176	0	-13.70268	-16.08799	2.385304	0.02530778	0.0253078	0.0253078	0.0253078	0.0253078	0.0253078	0.0253078
177	1	-14.19078	-16.49501	2.304237	0.03022492	0.0302249	0.0302249	0.0302249	0.0302249	0.0302249	0.0302249
178	0	-14.47196	-16.73343	2.261473	0.03281884	0.0328188	0.0328188	0.0328188	0.0328188	0.0328188	0.0328188
179	1	-13.19711	-15.69844	2.501331	0.01827006	0.0182701	0.0182701	0.0182701	0.0182701	0.0182701	0.0182701
180	0	-15.28359	-17.42828	2.144688	0.03990251	0.0399025	0.0399025	0.0399025	0.0399025	0.0399025	0.0399025
181	1	-13.30139	-15.93254	2.631155	0.01039549	0.0103955	0.0103955	0.0103955	0.0103955	0.0103955	0.0103955
182	0	-14.59992	-16.84246	2.242548	0.03396673	0.0339667	0.0339667	0.0339667	0.0339667	0.0339667	0.0339667
183	1	-13.6667	-16.33714	2.670431	0.008013149	0.00801315	0.00801315	0.00801315	0.00801315	0.00801315	0.00801315
184	0	-13.10817	-15.66439	2.556219	0.01494076	0.0149408	0.0149408	0.0149408	0.0149408	0.0149408	0.0149408
185	1	-13.57936	-16.2426	2.663248	0.008448814	0.00844881	0.00844881	0.00844881	0.00844881	0.00844881	0.00844881
186	0	-13.35036	-15.98876	2.638403	0.009955802	0.0099558	0.0099558	0.0099558	0.0099558	0.0099558	0.0099558
187	1	-13.52869	-16.18732	2.65863	0.008728918	0.00872892	0.00872892	0.00872892	0.00872892	0.00872892	0.00872892
188	0	-13.39545	-16.03972	2.644276	0.009599592	0.00959959	0.00959959	0.00959959	0.00959959	0.00959959	0.00959959
189	1	-13.94329	-16.63195	2.688663	0.006907251	0.00690725	0.00690725	0.00690725	0.00690725	0.00690725	0.00690725
190	0	-13.17103	-15.7742	2.603168	0.01209304	0.012093	0.012093	0.012093	0.012093	0.012093	0.012093
191	1	-13.16413	-15.76508	2.600945	0.01222787	0.0122279	0.0122279	0.0122279	0.0122279	0.0122279	0.0122279
192	0	-13.37893	-16.02113	2.6422	0.009725516	0.00972552	0.00972552	0.00972552	0.00972552	0.00972552	0.00972552
193	1	-13.15954	-15.75892	2.59938	0.01232281	0.0123228	0.0123228	0.0123228	0.0123228	0.0123228	0.0123228
194	0	-13.66856	-16.33913	2.670574	0.008004457	0.00800446	0.00800446	0.00800446	0.00800446	0.00800446	0.00800446
195	1	-13.21033	-15.70705	2.496714	0.01855009	0.0185501	0.0185501	0.0185501	0.0185501	0.0185501	0.0185501
196	0	-13.17725	-15.7823	2.605055	0.01197856	0.0119786	0.0119786	0.0119786	0.0119786	0.0119786	0.0119786
197	1	-13.18792	-15.796	2.608079	0.01179516	0.0117952	0.0117952	0.0117952	0.0117952	0.0117952	0.0117952
198	0	-13.3421	-15.80153	2.459422	0.02081208	0.0208121	0.0208121	0.0208121	0.0208121	0.0208121	0.0208121
199	1	-13.12905	-15.66186	2.532812	0.01636053	0.0163605	0.0163605	0.0163605	0.0163605	0.0163605	0.0163605
200	0	-13.1324	-15.66303	2.53063	0.01649291	0.0164929	0.0164929	0.0164929	0.0164929	0.0164929	0.0164929
201	1	-13.53633	-16.19568	2.65935	0.008685236	0.00868524	0.00868524	0.00868524	0.00868524	0.00868524	0.00868524
202	0	-13.10786	-15.67133	2.563464	0.01450132	0.0145013	0.0145013	0.0145013	0.0145013	0.0145013	0.0145013
