_	A	B	C	D	AB	AD	BC	ABC	ABD
35	0	0.999999999969773	1.03713766162406e-21	9.75357631885367e-51	5.29254831230497e-21	1.3129333666862e-11	1.70979726787678e-11	1.36522458538188e-32	2.45719975979204e-21	7.70524763273974e-21
36	0	0.999476572397376	2.61831118562785e-21	1.52330657698756e-50	1.39082513865267e-12	7.33775193810917e-12	0.000523427593743844	6.33165239592004e-32	9.63379258340577e-22	1.51362949992435e-13
37	0	0.959353574083785	5.86060718264207e-22	2.32498621240652e-51	3.26704777830489e-12	1.55735535502565e-11	0.0406464258803151	6.42772046719693e-33	2.99998381548542e-21	1.70592390026851e-11
38	0	0.999999999898051	1.3482619304314e-19	2.22495125855899e-47	1.55320507547896e-19	4.36990863133372e-11	5.8249833774915e-11	9.13639521103602e-30	1.96645988496914e-20	3.59268770465822e-20
39	0	3.62168305920237e-11	7.38706008127e-09	1.65439077252988e-29	5.52265609386284e-20	0.490544739708401	9.93888793815728e-11	1.89946947942814e-19	2.55494629333112e-10	0.509455252513438
40	0	9.05161695032859e-19	0.999999998749531	1.19191321297967e-27	4.4889869983728e-37	1.07951807566989e-09	6.76965063634928e-29	1.70951199446621e-10	3.24208290583774e-19	4.89627033222025e-19
41	0	1.27793371894927e-20	0.999999999957256	2.14065460437324e-21	2.58446680254965e-49	2.36326911273717e-11	2.64058794052503e-31	1.91117468678995e-11	1.50967960866544e-20	1.41246986180148e-20
42	0	2.42736543743807e-21	0.999999999955796	2.4717316041626e-21	3.29327910384469e-50	1.93905844110435e-11	6.84813638568163e-32	2.48132913771949e-11	2.14314091495683e-20	7.65662874626913e-21
43	0	1.02694629126543e-20	0.999999999946187	1.11256154528452e-20	6.00516195854714e-49	2.36575572222639e-11	5.15367822390379e-31	3.01552313727463e-11	1.9272520158807e-20	8.04117591469547e-21
44	0	3.47749049204065e-09	9.84543351653787e-27	0	1.01407034102354e-08	3.04756692622976e-18	0.999999979270637	3.42363318408559e-37	3.77309259058033e-27	7.11116946315021e-09
45	0	0.00323424784925391	0.756497127764	4.47130976726083e-11	0.000542246630490291	0.128261865964227	0.00140058653500062	0.00528173343611808	0.0147001163500755	0.0900820754261213
46	0	7.00338659706003e-12	0.950764820402595	0.00220081862784057	2.00532730367059e-22	0.00945715786038404	1.5473875038567e-13	0.0229200175542607	0.00707702280842181	0.00758016273934011
47	0	2.2441750058441e-10	0.830050384260041	1.49901431755081e-10	5.14379256585837e-29	0.0638582653255518	1.58386779589228e-11	0.0388684353408359	0.0457234395769566	0.0214994751064572
48	0	6.66257245564067e-20	0.926524193196114	2.6473732980721e-10	1.91365638201926e-39	6.30151006149495e-11	5.35771399784829e-30	0.0734758064159817	6.01517328684118e-11	4.28664768072715e-20
49	0	1.72155198235309e-09	0.660460036979682	4.10640928082865e-09	3.45434081809806e-19	0.099702068160423	9.82281647402243e-11	0.125981385471429	9.04271221267987e-09	0.113856494419564
50	0	5.07421802537901e-10	0.196320902279835	9.9045170895332e-11	6.81995380419669e-27	0.123253965184478	1.57749584435948e-10	0.0726320425449545	0.424745826983727	0.183047262242788
51	0	0.336930680836762	0.176329725868478	3.75721669972481e-20	1.12538371735054e-09	0.100724661631368	0.0981562871671319	2.21391009407238e-11	2.42830254592294e-10	0.287858643105907
